#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 19:52:39.993
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 8193
#Rate: 40000 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Blackman-Harris
#Channel: C1
#Range: 5.20963 V
#Offset: 4.3754e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.22099 V
#Offset: 0.000263673 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 1 (dBV),Phase (deg)
97.65625,-20.07098726575409,83.18156899241552
100.09765625,-17.00080682811114,83.19573743914161
102.5390625,-20.61736125331681,83.21875816025619
104.98046875,-31.73665415035939,83.26701593585928
107.421875,-54.12274029040179,83.4551069804544
109.86328125,-95.59405965374663,91.07170335504662
112.3046875,-108.6726300062949,12.42157926968289
114.74609375,-103.6862348127694,50.17944407914927
117.1875,-100.6777629470187,68.93167190061209
119.62890625,-94.83903572961373,78.90165399008556
122.0703125,-90.58606206787283,70.28834489264142
124.51171875,-89.99584649382406,67.57593524100226
126.953125,-92.55926579655065,78.81906861709692
129.39453125,-96.73854867872011,98.90295723317963
131.8359375,-98.89296585888206,119.1456806209102
134.27734375,-103.5976078956118,138.7524372326132
136.71875,-115.944038746711,122.1837869452829
139.16015625,-102.0973305939644,19.60941198954439
141.6015625,-92.94138768857437,41.9100413636627
144.04296875,-89.51816521028803,42.37415476228632
146.484375,-89.68843094511382,52.62736951936217
148.92578125,-89.33992565058819,70.95175647899208
151.3671875,-89.5162655737456,77.69669227839039
153.80859375,-92.81991087673127,79.09094102590461
156.25,-101.8369651048887,44.01100253979408
158.69140625,-97.05257224962652,142.4113177148036
161.1328125,-95.11750737093084,153.3270214847321
163.57421875,-93.8369025384402,7.317880599068788
166.015625,-93.07995003585467,19.79786432179674
168.45703125,-95.28230215447579,18.38231670732544
170.8984375,-99.27718546802009,4.924735509471824
173.33984375,-104.1976823779955,80.575944969598
175.78125,-93.04230759211272,33.07879916726195
178.22265625,-91.77342666648327,13.69135150698361
180.6640625,-94.34777781254795,164.0553523570488
183.10546875,-96.30181676643872,161.3072723281392
185.546875,-95.26586195187943,29.93487741633513
187.98828125,-90.4065010366273,65.3321306486896
190.4296875,-88.86606972495994,77.89662192825186
192.87109375,-91.4826874575531,77.44907509001656
195.3125,-92.08030244539651,22.48575722428619
197.75390625,-83.5396066255984,165.1105953983101
200.1953125,-80.94868492215437,158.6018910177536
202.63671875,-86.31098357616443,161.0621074754103
205.078125,-106.2741442622715,13.18432906189807
207.51953125,-90.15215710586889,28.43165906270236
209.9609375,-87.08382850522116,51.18288283061055
212.40234375,-87.90857156076868,67.35479462337514
214.84375,-93.53512421390788,104.6903210362016
217.28515625,-92.81151934491733,0.7608177167223852
219.7265625,-93.45249358312755,16.14611591682928
222.16796875,-108.0619002225343,96.83497850963795
224.609375,-97.08695715817547,41.73760197423022
227.05078125,-106.6192900878583,140.9861613628618
229.4921875,-92.54778952804048,1.25454116882027
231.93359375,-90.38933910680242,164.7279506985718
234.375,-89.68141448602417,138.75530972006
236.81640625,-89.29344417582149,122.2745571807111
239.2578125,-91.66248447086264,119.3693161066024
241.69921875,-97.76603892711449,127.31196505726
244.140625,-101.025556941528,95.75276990973873
246.58203125,-91.20647690258694,75.14622338629992
249.0234375,-87.1841064732223,77.56656803635352
251.46484375,-89.20662322573891,83.09613752108898
253.90625,-96.09864317729364,83.46591675384508
256.34765625,-98.44358753122835,38.39462710086987
258.7890625,-94.14690448757602,17.68318937693228
261.23046875,-94.88152869209641,12.87742269313833
263.671875,-99.92099192333271,13.12144327941844
266.11328125,-100.1201874683292,5.497803659705363
268.5546875,-97.74745210946278,161.7149380959741
270.99609375,-96.16804246587262,113.8544965669228
273.4375,-95.76367740115005,83.66607437347169
275.87890625,-101.8385065351239,11.8697896385481
278.3203125,-95.06047575172556,139.4492582520499
280.76171875,-95.10217299416253,132.468238898354
283.203125,-98.01983505439597,122.5335077913723
285.64453125,-97.6897066879352,131.6933049383182
288.0859375,-94.64676800502572,116.7936387502055
290.52734375,-91.89151201261092,89.53939304968208
292.96875,-91.47395084112918,70.54204885739689
295.41015625,-84.31205023509079,61.57582212344884
297.8515625,-76.59038101149443,62.16760771548029
300.29296875,-74.85636913984821,60.75533024877217
302.734375,-79.78554312358851,55.56672651229001
305.17578125,-92.47723923375642,46.73657697398893
307.6171875,-100.4134873182385,121.7055509828137
310.05859375,-96.29009318906809,115.6545964373776
312.5,-98.44789720850643,65.25242322885937
314.94140625,-98.50370998450516,3.811698085269845
317.3828125,-99.25972927914566,121.3887864551474
319.82421875,-101.8520383076304,111.5892038388261
322.265625,-98.42559074556307,35.3091305111123
324.70703125,-93.26630676028401,66.31503348494931
327.1484375,-93.19724942054209,108.8064020737066
329.58984375,-91.6655722257665,152.9439537842519
332.03125,-92.5684282535683,176.063230331173
334.47265625,-106.6138170767922,0.8620828130636552
336.9140625,-96.57823121266965,18.60458213198013
339.35546875,-94.55687523876409,0.4503036819301084
341.796875,-92.33422222376274,140.6765657222631
344.23828125,-88.88163165141491,120.7366674046166
346.6796875,-86.08484856238063,106.4658433480302
349.12109375,-85.47793245448548,98.0083215957473
351.5625,-91.07178862419936,82.20812631772557
354.00390625,-94.34305556497002,166.0346185946493
356.4453125,-89.98901038884142,150.0862985457766
